"","curve1","curve2","curve3","curve4"
"684",1,1,1,1
"685",0.945480201956395,0.973332732764116,0,1
"686",1,1,1,1
"687",0,0,0,1
"688",0,0,1,0
"689",0.934226768872463,1,0,0
"690",0,0,1,0
"691",0,0,1,0
"692",0.719072242870419,1,0,0
"693",1,0,0,0
"694",0,0,0,1
"695",0,0,1,0
"696",1,1,0,1
"697",1,0,0,0
"698",1,1,0,0.369054041482274
"699",1,1,1,1
"700",1,1,0,0.679665734804996
"701",0.84112826239264,0.881606868821879,0,1
"702",0.973425184887319,1,0,0
"703",1,0.672860006411345,0,0
"704",0,0,0,1
"705",1,0.95607099787489,0,0
"706",1,0,0,0
"707",1,0.864195313021347,0,0
"708",0,0,1,0
"709",0.632991764473229,0.631148157220893,1,0.641345664251366
"710",0.890172348589958,1,0,0
"711",0,0,1,0
"712",1,0.964542329232763,0,0.659485798893804
"713",1,1,1,1
"714",1,1,0,1
"715",1,1,0,1
"716",0,0,1,0
"717",1,1,0,1
"718",0,0,0,1
"719",1,1,1,1
"720",0,0,1,0
"721",1,0.179791302658427,0,0
"722",0,1,0,0
"723",1,1,0,1
"724",0,0,0,1
"725",1,1,0.771723987401907,1
"726",0,0,0,1
"727",0,1,0,0
"728",0,1,0,0
"729",1,0.950791255116214,0,0
"730",1,0.959500262608089,0,0
"731",1,1,0.227331193869273,1
"732",1,1,0,1
"733",1,1,0,0.554677129150137
"734",1,1,0,0.882968604032984
"735",1,0,0,0
"736",0,0,1,0
"737",0,1,0,0
"738",1,0,0,0
"739",0,1,0,0
"740",0,0,0,1
"741",0,0,1,0
"742",0,0,1,0
"743",0,0,1,0
"744",0,0,1,0
"745",0,1,0,0
"746",1,1,0,1
"747",1,0,0,0
"748",0.963616992713935,0.963436673226204,1,0.964771375328812
"749",0,0,0,1
"750",0,0,1,0
"751",1,1,0,1
"752",0,1,0,0
"753",0,0,1,0
"754",1,0.999861094159259,0.997917424522145,0.999722199449313
"755",0,1,0,0
"756",0,0,1,0
"757",0,0,0,1
"758",1,1,0.873943133893649,1
"759",1,1,1,1
"760",1,0,0,0
"761",1,1,0.629333455204954,1
"762",1,1,1,1
"763",1,1,1,1
"764",0,1,0,0
"765",1,1,1,1
"766",1,0.263960980110133,0,0
"767",0,0,1,0
"768",1,1,0,1
"769",0,0,1,0
"770",0.960372202599023,1,0,0
"771",1,0,0,0
"772",0,0,0,1
"773",1,0,0,0
"774",0,0,1,0
"775",0.927151129163673,1,0,0
"776",0,0,1,0
"777",1,0,0,0
"778",1,0,0,0
"779",1,1,0,0.861827943787153
"780",0,0,1,0
"781",0,0,1,0
"782",1,0.950420773843035,0,0
"783",0,0,0,1
"784",0,0,1,0
"785",0,0,1,0
"786",0.193742556737145,1,0,0
"787",0.605181640516313,1,0,0.344245357207585
"788",1,1,1,1
"789",1,0,0,0
"790",1,1,0,1
"791",1,1,1,1
"792",0.965943539416991,1,0,0
"793",0,0,1,0
"794",1,1,0,1
"795",1,0.968381521374195,0,0
"796",1,0.861626571652291,0,0
"797",1,1,1,1
"798",0,0,1,0
"799",1,1,0,0.837272870276134
"800",1,0.879377972192178,0,0
"801",1,0,0,0
"802",0,0,1,0
"803",1,0,0,0
"804",1,0.963741988826214,0,0
"805",1,1,1,1
"806",1,0,0,0
"807",1,1,0,1
"808",0,0,1,0
"809",1,0,0,0
"810",0,1,0,0
"811",1,1,1,1
"812",0,0,1,0
"813",1,1,0,1
"814",1,1,1,1
"815",1,1,1,1
"816",0,0,0,1
"817",1,1,0,1
"818",1,1,1,1
"819",1,0,0,0
"820",1,0,0,0
"821",1,1,0,1
"822",1,0.944432274838805,0,0
"823",1,0,0,0
"824",0.999517579652872,0.997638073330123,0.931626116515729,1
"825",1,1,1,1
"826",0,0,1,0
"827",1,1,0,1
"828",0,1,0,0
"829",1,1,0,1
"830",1,0.992451685064956,0,0.971065621864788
"831",1,0.979724412565969,0,0
"832",1,0,0,0
"833",0.637561063051857,1,0,0
"834",0,1,0,0
"835",0,0,1,0
"836",0,1,0,0
"837",1,1,0,1
"838",0,0,1,0
"839",1,1,0,1
"840",1,0,0,0
"841",1,1,1,1
"842",0,0,0,1
"843",0,1,0,0
"844",1,1,0,0.854468057735405
"845",0.99232596620759,1,0,0
"846",1,0,0,0
"847",1,1,1,1
"848",1,1,0,0.846078426621014
"849",0,1,0,0
"850",1,1,1,1
"851",1,0,0,0
"852",0.58727177482455,0.576081529315096,1,0.577287346856865
"853",1,1,0,0.808638727733815
"854",1,0.998773926791511,0.82539744622304,0.995768159539029
"855",0,1,0,0
"856",1,0,0,0
"857",0,1,0,0
"858",1,1,0.792448909460564,1
"859",0.990123440465344,0.986576496890776,0.4675661072932,1
"860",0,0,1,0
"861",0,1,0,0
"862",1,1,0.808004647562197,1
"863",0,0,1,0
"864",0,0,1,0
"865",0.983907486704009,1,0,0
"866",1,1,0,1
"867",0,0,1,0
"868",1,1,0,1
"869",1,0,0,0
"870",0,1,0,0
"871",1,0,0,0
"872",1,0.126156392985124,0,0
"873",1,1,1,1
"874",1,0.547385736683711,0,0
"875",0,0,0,1
"876",1,0,0,0
"877",0,0,1,0
"878",1,0,0,0
"879",1,1,0.519809723126845,1
"880",0,0,0,1
"881",1,0,0,0
"882",1,0,0,0
"883",0,0,1,0
"884",1,0,0,0
"885",1,1,0,0.852977310611397
"886",0,0,1,0
"887",1,1,0,1
"888",0.825162897655485,0.874718332897862,0,1
"889",0.986902808437115,0.97174259970629,0.620719964198209,1
"890",0,0,1,0
"891",0,0,1,0
"892",0,0,0,1
"893",0,0,1,0
"894",1,1,0,0.777019324304228
"895",0,0,1,0
"896",0.98793270507198,1,0,0
"897",1,0,0,0
"898",0,0,0,1
"899",0,0,1,0
"900",0,1,0,0
"901",1,1,0.737610814682619,1
"902",0,0,1,0
"903",0,0,1,0
"904",0,0,0,1
"905",0.948360312825944,1,0,0
"906",1,0,0,0
"907",1,1,0.750321012911079,1
"908",1,0,0,0
"909",0.985649814800409,1,0,0
"910",1,1,1,1
"911",0.99494245365013,0.994017334877807,1,0.995806094085636
"912",1,0.968353658418461,0,0.837071783839716
"913",1,1,0,1
"914",0,0,1,0
"915",1,1,1,1
"916",1,0.99909216452227,0,0
"917",0,0,1,0
"918",1,0.432117249676718,0,0
"919",1,0,0,0
"920",1,1,1,1
"921",1,0.983776243213555,0,0
"922",0,1,0,0
"923",1,1,0,1
"924",1,0.910015809786953,0,0
"925",1,0,0,0
"926",0,0,1,0
"927",1,0.97307866036691,0,0.800723828442776
"928",0,0,1,0
"929",0,0,1,0
"930",0,0,0,1
"931",0,0,1,0
"932",0.625214379329648,1,0,0.704175758546387
"933",1,0.970386552498801,0,0.856943352728872
"934",0.393229029632118,1,0,0
"935",0,0,1,0
"936",0.998136574125677,0.996484654460485,0.940941431728488,1
"937",1,1,0,1
"938",1,1,1,1
"939",0.997335147620949,1,0,0
"940",1,1,0,1
"941",0.948360780668505,1,0,0
"942",0.655627802822478,1,0,0.319692446914557
"943",0,0,0,1
"944",0,0,1,0
"945",0,0,1,0
"946",0,0,1,0
"947",1,1,0,0.893811565672496
"948",1,1,0.668715881573287,1
"949",1,0,0,0
"950",0,1,0,0
