"","t6"
"772","Run4_235559336496502"
"773","Run5_166351395736876"
"774","Run4_230652451903334"
"775","Run5_239407492885798"
"776","Run5_161451911071541"
"777","Run5_164769519847654"
"778","Run4_125728298232628"
"779","Run4_165741375740316"
"780","Run5_230611668887262"
"781","Run5_191576409069804"
"782","Run5_231270765971869"
"783","Run4_197145251755765"
"784","Run5_232450585409398"
"785","Run4_201111685777203"
"786","Run5_235678475369909"
"787","Run5_192859692776670"
"788","Run5_133974590114214"
"789","Run4_195625773127910"
"790","Run5_204825355794333"
"791","Run4_161478620408156"
"792","Run5_204756739086062"
"793","Run5_121879183874779"
"794","Run5_133854511392629"
"795","Run4_135699973696883"
"796","Run4_227921676908276"
"797","Run4_226394635713308"
"798","Run5_227930488913309"
"799","Run4_161462663691619"
"800","Run5_155842565066078"
"801","Run4_157140450199860"
"802","Run5_200570487827230"
"803","Run5_192747056810397"
"804","Run5_122514704584094"
"805","Run5_204765476338910"
"806","Run5_121338017831203"
"807","Run4_239408816449379"
"808","Run5_200563762588470"
"809","Run4_135081886378805"
"810","Run5_135149143643875"
"811","Run5_192306983385510"
"812","Run4_192747083622644"
"813","Run5_156463306753965"
"814","Run5_235199333328798"
"815","Run5_231760526198637"
"816","Run5_235070765517227"
"817","Run5_204765463206708"
"818","Run4_165945520899886"
"819","Run5_239407447333611"
"820","Run5_157536914138854"
"821","Run4_170877915092702"
"822","Run5_155888882408798"
"823","Run4_157536928819436"
"824","Run5_231891388553461"
"825","Run4_165946191964982"
"826","Run5_196043624298355"
"827","Run5_227305168158110"
"828","Run4_195547389974758"
"829","Run5_239407474628454"
"830","Run5_231760540646188"
"831","Run4_131097947127195"
"832","Run5_161451938531637"
"833","Run5_240634599786350"
"834","Run5_200426606710134"
"835","Run5_230652470810397"
"836","Run4_235548445916470"
"837","Run4_169795583335342"
"838","Run5_121202323438875"
"839","Run4_205449154218339"
"840","Run4_236221670050523"
"841","Run5_236768082454956"
"842","Run5_196527716231580"
"843","Run5_169587519109940"
"844","Run4_170180373760420"
"845","Run5_235007414820126"
"846","Run5_169158854724981"
"847","Run5_235070765545885"
"848","Run5_226283262207907"
"849","Run4_169794765970726"
"850","Run5_130531368482612"
"851","Run4_196113236703005"
"852","Run5_170745952168302"
"853","Run4_227493100350195"
"854","Run4_227973466077493"
"855","Run4_204224175467228"
"856","Run5_227991438940404"
"857","Run5_227357137951454"
"858","Run4_164769551043302"
"859","Run4_161462648794356"
"860","Run5_164698921749229"
"861","Run4_125677921254187"
"862","Run4_195547374774637"
"863","Run5_231754888760230"
"864","Run5_130675142212453"
"865","Run5_157684151564126"
"866","Run5_205922689043163"
"867","Run4_170199731886885"
"868","Run5_126765620939998"
"869","Run5_226394649835955"
"870","Run5_165164911016758"
"871","Run5_126149040133876"
"872","Run5_133895281851764"
"873","Run5_129565717388126"
"874","Run5_165327878442406"
"875","Run5_169174289833270"
"876","Run4_196163864324340"
"877","Run4_227903377103670"
"878","Run5_192653687208861"
"879","Run5_230654437407989"
"880","Run4_161478635015533"
"881","Run5_133829948750636"
"882","Run5_126707819829172"
"883","Run5_165741390948131"
"884","Run4_156024161097516"
"885","Run4_226874759207220"
"886","Run4_165232468155182"
"887","Run5_170798592674652"
"888","Run4_230611668879662"
"889","Run4_166264181274933"
"890","Run4_204403329054573"
"891","Run4_230592295397604"
"892","Run4_195623342172957"
"893","Run4_191215646464924"
"894","Run5_134033673141165"
"895","Run5_232261741046619"
"896","Run4_204360513862452"
"897","Run4_204763047344548"
"898","Run5_226283249383725"
"899","Run5_199865991814365"
"900","Run5_226273464040798"
"901","Run5_191774139734773"
"902","Run5_126885760723373"
"903","Run5_230799420119478"
"904","Run4_170198389909342"
"905","Run5_133854465027427"
"906","Run5_200967489969571"
