"","t3"
"534","Run4_134530802792365"
"535","Run4_170181075786531"
"536","Run5_120726911838637"
"537","Run4_235214378556660"
"538","Run5_134472820778910"
"539","Run4_227425473448876"
"540","Run5_226829515550116"
"541","Run5_196113263905565"
"542","Run4_120703408880541"
"543","Run4_201114472365422"
"544","Run5_126886700862307"
"545","Run5_160785132801436"
"546","Run5_126218864285990"
"547","Run5_232318603315438"
"548","Run5_157690371664163"
"549","Run4_126227557046070"
"550","Run4_169158171545006"
"551","Run4_131234281244509"
"552","Run4_200983476389725"
"553","Run4_236175618620203"
"554","Run5_135150471080733"
"555","Run5_236288375712027"
"556","Run5_240617688557421"
"557","Run5_156933518219547"
"558","Run5_239932655753012"
"559","Run5_231760553269686"
"560","Run4_165325569444149"
"561","Run4_240136800909740"
"562","Run5_135150498696412"
"563","Run5_166400430893867"
"564","Run5_204358246676324"
"565","Run5_191553887987435"
"566","Run4_199962332941109"
"567","Run5_125197064496949"
"568","Run5_191215678118323"
"569","Run5_164818790603492"
"570","Run5_126293994498979"
"571","Run5_201670656452333"
"572","Run4_121955407021878"
"573","Run5_200416659696437"
"574","Run4_227853896705893"
"575","Run4_192729635765173"
"576","Run4_129457538349940"
"577","Run5_231822803265261"
"578","Run5_134472833551774"
"579","Run4_165232436493172"
"580","Run5_121339915492150"
"581","Run5_156024193075509"
"582","Run4_165164938345331"
"583","Run5_195967119903531"
"584","Run4_236785384406389"
"585","Run5_204427086120795"
"586","Run5_205511458187555"
"587","Run5_205518992993196"
"588","Run5_134600627186086"
"589","Run4_227844202018667"
"590","Run5_191756825123550"
"591","Run4_199944362187108"
"592","Run5_235199346129827"
"593","Run4_235763060030707"
"594","Run5_130531414718710"
"595","Run4_204359620226403"
"596","Run5_130126448023779"
"597","Run5_201585857775461"
"598","Run5_120786758256557"
"599","Run5_120726896917916"
"600","Run5_232311401597300"
"601","Run5_166332113807214"
"602","Run5_130144687249181"
"603","Run5_201111653694875"
"604","Run5_192718897592045"
"605","Run4_120797944538971"
"606","Run5_197185798301603"
"607","Run5_196638176884524"
"608","Run4_135150498179827"
"609","Run4_135149175555995"
"610","Run4_130144701430572"
"611","Run4_130126460111589"
"612","Run4_239596337477429"
"613","Run4_157690352494942"
"614","Run4_235000945031454"
"615","Run4_192718870857580"
"616","Run5_122514704643886"
"617","Run4_120703436053366"
"618","Run5_200570488646053"
"619","Run4_195426057313636"
"620","Run4_126776238855982"
"621","Run4_170180358564637"
"622","Run4_160785117900078"
"623","Run5_204427113486245"
"624","Run5_231891402704820"
"625","Run4_197145264282395"
"626","Run5_200974065847708"
"627","Run5_170276754413859"
"628","Run4_166288090421678"
"629","Run4_191215632299814"
"630","Run4_165232436800355"
"631","Run5_236846752938870"
"632","Run5_226970322976037"
"633","Run4_230800332843742"
"634","Run4_240617715844843"
"635","Run5_199962347355555"
"636","Run4_164769505065206"
"637","Run5_196180763596700"
"638","Run4_226949786883933"
"639","Run5_196019702323509"
"640","Run5_200994214004980"
"641","Run5_204213425461038"
"642","Run5_205392394541286"
"643","Run5_195606476929309"
"644","Run5_135571539352286"
"645","Run4_161893265565430"
"646","Run5_170344418831587"
"647","Run5_241114589128940"
"648","Run4_197188232853405"
"649","Run5_165945535585574"
"650","Run4_196163883715494"
"651","Run4_131089728190190"
"652","Run4_197135485581533"
"653","Run4_125677966585070"
"654","Run4_232321046997237"
"655","Run4_169723777702643"
"656","Run4_161960508452262"
"657","Run4_192315278383987"
"658","Run4_170877934779611"
"659","Run5_235189030275381"
"660","Run5_169014034283813"
"661","Run4_235120010582875"
"662","Run4_170877934516083"
"663","Run4_192317708229035"
"664","Run5_228042051632349"
"665","Run4_170268002989869"
"666","Run4_157486610041757"
"667","Run4_239932686654246"
"668","Run4_191096715635491"
"669","Run5_166264199628724"
"670","Run4_161462676047796"
"671","Run4_131310501607789"
"672","Run4_197206037621533"
"673","Run4_226205925599523"
"674","Run5_157562596707749"
"675","Run5_120864516193581"
"676","Run5_155972634331436"
"677","Run4_231754915765110"
"678","Run5_170268048939430"
"679","Run5_235559337023213"
"680","Run5_231365404179749"
"681","Run5_133854511089565"
"682","Run4_227516857117941"
"683","Run5_121896113728940"
"684","Run4_227930504097012"
"685","Run5_164769551796526"
"686","Run4_204825355512757"
"687","Run5_170265230863732"
"688","Run5_135064464767413"
"689","Run5_135014286290270"
"690","Run5_199962332882806"
"691","Run5_241057681034141"
"692","Run5_134033673186532"
"693","Run5_204816853941155"
"694","Run5_165858413296933"
"695","Run5_169793570105700"
"696","Run5_204882352658230"
"697","Run4_135149128636779"
"698","Run4_130624798508909"
"699","Run4_191026834331566"
"700","Run5_230799407233459"
"701","Run4_196638162774388"
"702","Run5_130754483735348"
"703","Run4_226958753024742"
"704","Run5_240094688000925"
"705","Run4_170877888190765"
"706","Run4_196043624574324"
"707","Run4_125719976725363"
"708","Run4_160910638701981"
"709","Run4_204360541461790"
"710","Run4_195546213660462"
"711","Run4_130754465458027"
"712","Run4_125247350523828"
"713","Run5_121339916245221"
"714","Run5_135149156525940"
"715","Run4_121955406802230"
"716","Run5_169572513470886"
"717","Run4_166288044440883"
"718","Run5_161548563335086"
"719","Run4_240482290165987"
"720","Run5_169572486466923"
"721","Run5_156515920165597"
"722","Run5_204360528129333"
"723","Run5_126681647597870"
"724","Run5_130675115707812"
"725","Run5_160903141734646"
"726","Run5_130754453063582"
"727","Run5_196715471924581"
"728","Run5_166351395743964"
"729","Run4_170265183959972"
"730","Run5_169022490008867"
"731","Run4_130184193206109"
"732","Run4_135149175094558"
"733","Run4_169022508166572"
"734","Run5_131310529145268"
"735","Run4_122282795812787"
"736","Run4_121338017995180"
"737","Run5_129497369852710"
"738","Run4_239946733644571"
"739","Run4_169027877332726"
"740","Run4_239407492937629"
"741","Run4_239477267293988"
"742","Run4_227981806164254"
"743","Run5_122436428426011"
"744","Run4_197264034450291"
"745","Run4_231279489563564"
"746","Run4_195562273618206"
"747","Run5_235189010651038"
"748","Run5_227493119671147"
"749","Run5_235007401486566"
"750","Run4_126885773822901"
"751","Run5_204756751890726"
"752","Run5_197206052386549"
"753","Run4_126681647049453"
"754","Run4_240154771568436"
"755","Run4_231280295430566"
"756","Run4_204224162884381"
"757","Run4_121339884197670"
"758","Run4_126765621266222"
"759","Run5_192307002529629"
"760","Run5_226953410865460"
"761","Run5_205518961241396"
"762","Run4_120726911638237"
"763","Run5_236785384151260"
"764","Run4_240154817260317"
"765","Run4_231280309856627"
"766","Run4_241106389482733"
"767","Run4_201111686014686"
"768","Run4_227354843724195"
"769","Run4_196180776012636"
"770","Run4_201465586731814"
"771","Run4_200348236637916"
"772","Run4_204762139187955"
"773","Run5_126776224724830"
"774","Run4_135014254795572"
"775","Run4_195562288135388"
"776","Run5_192806964120997"
"777","Run5_235069798463350"
"778","Run4_161883152636852"
"779","Run5_191210531777334"
"780","Run5_230652470835950"
"781","Run5_236176840743643"
"782","Run4_130675115223459"
"783","Run4_122282795515302"
"784","Run4_231340585989990"
"785","Run5_232450538986332"
"786","Run4_197188201133868"
"787","Run5_161883180623587"
"788","Run4_241106374478774"
"789","Run5_227516829521715"
"790","Run4_227284929104755"
"791","Run5_240498395536612"
"792","Run4_239458093317548"
"793","Run5_226829546679541"
"794","Run5_126834233760563"
"795","Run4_191096742700781"
"796","Run5_196163837484253"
"797","Run4_130144713726813"
"798","Run5_231366209165028"
"799","Run5_166332114364772"
"800","Run5_155842564176236"
"801","Run4_227354844019060"
"802","Run4_227305196243317"
"803","Run4_170268017449691"
"804","Run4_121339915976030"
"805","Run4_204351835654901"
"806","Run4_196163837225389"
"807","Run5_230809057057179"
"808","Run5_170745979390316"
"809","Run5_235601972062061"
"810","Run4_196638162962283"
"811","Run4_169151728629614"
"812","Run5_232301304441115"
"813","Run5_160903109663582"
"814","Run5_160903141669174"
"815","Run4_165738974964133"
"816","Run5_162001533417372"
"817","Run4_227510414851291"
"818","Run4_134530802802021"
"819","Run4_205510773992164"
"820","Run5_235198559152484"
"821","Run4_239382662335347"
"822","Run5_239587850570462"
"823","Run5_235533400955611"
"824","Run5_201670683736803"
"825","Run4_161411807198571"
"826","Run5_236082114214813"
"827","Run5_122428792990964"
"828","Run5_192718885795558"
"829","Run4_120772961130853"
"830","Run4_161889642002286"
"831","Run5_121955438180773"
"832","Run4_232327507991395"
"833","Run4_204224194526619"
"834","Run5_191553888209253"
"835","Run4_227284948237035"
"836","Run4_166332095646443"
"837","Run5_231760572340061"
"838","Run5_191576423910132"
"839","Run4_227284947757867"
"840","Run5_166264168930036"
"841","Run5_231900126768046"
"842","Run5_199962360658678"
"843","Run5_134522332367717"
"844","Run5_231291315501931"
"845","Run5_130754464836510"
"846","Run4_170198358997750"
"847","Run5_157004353453276"
"848","Run4_192747070712604"
"849","Run4_235122009172702"
"850","Run5_235763078645662"
"851","Run5_126836650208541"
"852","Run4_197264019998963"
"853","Run5_121826168162659"
"854","Run4_204427100015981"
"855","Run5_169027877693677"
"856","Run4_192255444535669"
"857","Run4_121826168138163"
"858","Run4_235533413308125"
"859","Run4_130126460635380"
"860","Run5_169727105845486"
"861","Run4_130761014603109"
"862","Run5_130531395065580"
"863","Run4_231822849137396"
"864","Run4_232311369918700"
"865","Run4_227930515917742"
"866","Run4_166416939444532"
"867","Run5_162078857541350"
"868","Run4_197135438833971"
"869","Run5_197213553880292"
"870","Run5_231365416020388"
"871","Run4_120786804401973"
"872","Run5_129663562050460"
"873","Run5_197213581625717"
"874","Run5_197206065400555"
"875","Run4_230741438490525"
"876","Run5_134938019158445"
"877","Run5_227853896636710"
"878","Run5_161451925760302"
"879","Run5_236650124175651"
"880","Run4_235189010839404"
"881","Run4_170137167547758"
"882","Run5_165858441345907"
"883","Run4_235198540110110"
"884","Run5_230799420123948"
"885","Run5_122282776938339"
"886","Run4_227364224580380"
"887","Run5_161478648130461"
"888","Run5_231279535511459"
"889","Run4_236167176797429"
"890","Run4_197135453580061"
"891","Run4_165327865342814"
"892","Run5_131089759647590"
"893","Run5_199934564783836"
"894","Run5_195625757886261"
"895","Run4_165164925794147"
"896","Run5_230800378943324"
"897","Run4_226829547497829"
"898","Run5_227981759997787"
"899","Run5_235678490016683"
"900","Run4_227982982409013"
"901","Run5_197256786328491"
"902","Run4_239448294906718"
"903","Run4_166288045061981"
"904","Run5_170660067171252"
"905","Run4_169794751609180"
"906","Run5_195606445476261"
"907","Run5_239382631464182"
"908","Run5_200563790108580"
"909","Run5_226205940004708"
"910","Run4_157536928852270"
"911","Run5_170343479295262"
"912","Run5_120703424261541"
"913","Run5_231907628312294"
"914","Run5_169579780164019"
"915","Run5_170137168013107"
"916","Run4_241114562353500"
